processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,cluster
8070975921,-8.1214116,-34.9495287,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,7.3,0.5,42.0,7
8066390822,-8.015571,-34.894891,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,21.9,3.4,42.0,6
8061099322,-8.113188599999999,-34.9458745,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,26.5,1.1,52.0,0
8040412621,-8.0155231,-34.9044184,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.4,0.0,34.0,1
8059699722,-8.1191708,-34.9563255,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,2.9,0.0,81.0,7
8031889622,-8.1125926,-34.9576356,PV1,20 a 100m,10 a 30º,0 a 60%,Media,0.8,0.1,74.0,0
8018384321,-7.9938248,-34.9228246,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.3,48.0,3
8031427421,-8.1191778,-34.9485947,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.8,1.0,74.0,0
8058948322,-8.007823799999999,-34.9541143,A2,20 a 100m,10 a 30º,0 a 60%,Media,19.8,0.0,60.0,1
8057365422,-8.0142516,-34.9011219,A2,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.9,30.0,1
8031433421,-8.120059,-34.9503909,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.8,1.0,38.0,0
8019193721,-7.9973526,-34.9353088,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.7,0.0,66.0,5
8030423322,-8.1354531,-34.9545501,A2,20 a 100m,10 a 30º,0 a 60%,Media,14.2,0.2,14.0,0
8061090622,-8.113188599999999,-34.9458745,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,26.5,1.1,52.0,0
8054619522,-8.0119021,-34.9013686,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.0,57.0,6
8018215721,-7.9996219,-34.9076274,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,19.0,6
8066410922,-8.1209352,-34.9518377,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,21.9,3.4,33.0,7
8056292322,-8.019090199999999,-34.9000978,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,83.0,0.1,16.0,6
8052760222,-7.9959615,-34.9268122,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.5,40.0,3
8055642022,-8.0124519,-34.9006194,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,83.0,4.8,57.0,4
8017751221,-8.0047481,-34.9051237,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.3,32.0,6
8036581022,-7.999930399999999,-34.92464510000001,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.0,0.2,28.0,3
8028710922,-8.0185465,-34.9590977,A2,20 a 100m,10 a 30º,0 a 60%,Media,12.4,0.5,16.0,1
8059587422,-8.1287763,-34.945602,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,35.0,0
8030004022,-8.009720399999999,-34.9546284,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.7,0.3,36.0,1
8005081522,-7.9873204,-34.9219576,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.2,0.0,45.0,3
8071762722,-7.993732799999999,-34.9251928,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.8,0.0,25.0,3
8060457322,-8.1131265,-34.95827999999999,PV1,20 a 100m,10 a 30º,0 a 60%,Alta,2.3,0.4,74.0,7
8098979921,-8.0055468,-34.9147411,LVd4,0 a 40m,0 a 5º,0 a 15%,Media,1.9,0.0,28.0,2
8098977621,-8.0055468,-34.9147411,LVd4,0 a 40m,0 a 5º,0 a 15%,Media,1.9,0.0,28.0,2
8027378022,-8.01557,-34.956489,A2,0 a 40m,0 a 5º,0 a 15%,Media,20.8,0.1,17.0,2
8067482322,-7.9873376,-34.9246534,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,0.7,0.2,42.0,7
8062939522,-7.9917826,-34.9263673,LVd4,0 a 40m,0 a 5º,0 a 15%,Media,7.4,0.6,25.0,2
8063329622,-7.991773899999999,-34.9256668,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,14.2,0.8,25.0,7
8059569622,-8.1090793,-34.9572025,PV1,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,58.0,0
8028794822,-8.0132901,-34.8989442,A2,20 a 100m,10 a 30º,0 a 60%,Media,12.4,2.3,39.0,1
8063274722,-8.016644099999999,-34.9086105,A2,20 a 100m,10 a 30º,0 a 60%,Media,14.2,0.8,42.0,1
8012297121,-7.9951878,-34.9347572,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.6,0.1,48.0,3
8059551022,-8.120059,-34.9503909,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,38.0,0
8062122922,-7.980421499999999,-34.9163889,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.9,0.0,66.0,5
8032004021,-8.1244201,-34.9566558,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.0,65.0,0
8061955722,-7.988,-34.9265617,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.4,0.0,75.0,5
8026680721,-8.005539900000002,-34.9084481,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,1.8,0.0,43.0,6
8059513022,-8.1224168,-34.9552541,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.2,80.0,0
8030764721,-7.9958899,-34.9297976,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,9.6,0.4,41.0,7
8059457322,-7.9921822,-34.9256025,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,2.9,0.2,25.0,7
8030858121,-7.9966616,-34.9261791,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,40.0,3
