processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation
8066464122,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,21.9,0.0,7.0
8067264622,-8.0142231,-34.9241607,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.7,0.0,72.0
8032174022,-7.9965955,-34.9381197,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.8,0.0,44.0
8098352621,-8.004753899999999,-34.9107187,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,0.2,0.0,20.0
8059461022,-8.0142231,-34.9241607,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.2,72.0
8057971122,-8.114773699999999,-34.9399567,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,12.7,0.0,14.0
8044377021,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,2.9,0.0,7.0
8066072622,-8.1188869,-34.9461656,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,4.7,0.1,82.0
8056735222,-7.9949688,-34.9318093,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.3,49.0
8065541222,-8.120788,-34.9570468,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.0,81.0
8069395022,-8.1132596,-34.9590673,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,8.1,0.2,38.0
8064764822,-8.1365967,-34.9531721,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,25.0
8057927222,-8.1244201,-34.9566558,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.1,65.0
8058999722,-8.1172439,-34.9554001,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,19.8,0.0,83.0
8021769822,-7.994879000000001,-34.9341881,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.2,48.0
8043142822,-7.991562099999999,-34.932147,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,7.0,1.1,54.0
8057838022,-8.111928,-34.9501038,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,12.7,1.3,82.0
8055623622,-8.120059,-34.9503909,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,5.2,38.0
8055664422,-8.0539232,-34.9249115,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,83.0,4.8,10.0
8022977322,-7.9990679,-34.9382999,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.8,0.0,42.0
8042264222,-8.0142231,-34.9241607,A2,20 a 100m,10 a 30º,0 a 60%,Media,4.2,0.0,72.0
8057763022,-8.120013199999999,-34.9543752,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,12.7,1.3,85.0
8065989322,-8.1156173,-34.9576142,PV1,20 a 100m,10 a 30º,0 a 60%,Media,4.7,0.0,47.0
8078022021,-8.0013456,-34.9109717,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.3,37.0
8077677321,-8.0013077,-34.9112407,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.9,0.0,37.0
8065168022,-8.1244201,-34.9566558,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.0,65.0
8025563522,-7.9921909,-34.9310781,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.4,1.1,41.0
8074515221,-8.003089899999999,-34.9084454,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,8.6,0.3,53.0
8031680121,-8.1101212,-34.9542867,PV1,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.1,47.0
8014331221,-8.1181052,-34.9475677,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,0.0,0.0,80.0
8064473322,-8.1191708,-34.9563255,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,0.1,0.0,81.0
8033624121,-8.128985799999999,-34.9469392,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,10.3,0.4,41.0
