processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation
8066811521,-8.0105421,-34.93089,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,0.3,0.0,31.0
8065949122,-8.0066238,-34.9091136,URBANO,20 a 100m,10 a 30º,0 a 60%,Baixa,4.7,0.2,14.0
8068192922,-8.0074457,-34.908605,URBANO,0 a 40m,0 a 5º,0 a 15%,Baixa,1.2,0.0,14.0
8069034822,-8.0074457,-34.908605,URBANO,0 a 40m,0 a 5º,0 a 15%,Baixa,8.1,0.0,14.0
8056763622,-8.019064499999999,-34.9063282,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.4,17.0
8052560322,-8.0074303,-34.9080787,URBANO,0 a 40m,0 a 5º,0 a 15%,Baixa,20.2,0.3,15.0
8048085222,-8.0074419,-34.90985060000001,URBANO,0 a 40m,0 a 5º,0 a 15%,Baixa,3.0,0.1,14.0
8051792822,-8.0063687,-34.9004135,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,27.7,0.2,28.0
8051207822,-8.012313,-34.9081265,A2,20 a 100m,10 a 30º,0 a 60%,Media,17.1,0.4,36.0
8032507022,-8.0108929,-34.909932,A2,20 a 100m,10 a 30º,0 a 60%,Alta,2.6,0.3,51.0
8103774721,-8.0170563,-34.907052,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.4,0.1,32.0
8046187421,-8.0077454,-34.8988931,URBANO,20 a 100m,10 a 30º,0 a 60%,Baixa,1.3,0.0,47.0
8064311322,-8.1334336,-34.9462588,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,43.0
8059295322,-8.1313953,-34.9339608,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,2.9,0.1,61.0
8069426322,-8.1406031,-34.9291438,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,8.1,0.0,16.0
8054066622,-8.1362211,-34.9397337,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.1,41.0
8051739022,-8.1406031,-34.9291438,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,17.1,0.5,16.0
8029598021,-8.1341842,-34.9437878,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,1.9,0.0,65.0
8072175822,-8.0942759,-34.9216692,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,1.5,0.0,13.0
8066427922,-8.0854827,-34.9238162,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,21.9,2.2,7.0
8000031022,-8.0373354,-34.9337338,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,2.3,0.1,9.0
8053665322,-8.0278836,-34.93313790000001,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,20.2,0.7,8.0
8052919122,-8.029635599999999,-34.9316542,AGUA,0 a 20m,0 a 5º,0 a 10%,Baixa,20.2,0.5,9.0
8055775022,-8.028411799999999,-34.9409916,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,83.0,7.5,7.0
8105374621,-8.038437,-34.9307499,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,1.9,0.0,9.0
8000139721,-8.0389375,-34.9410729,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,2.1,0.2,16.0
8025349521,-8.0344332,-34.9396719,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,1.6,0.1,11.0
8002856821,-8.0348475,-34.9409293,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,3.1,0.0,11.0
8067635422,-8.0280457,-34.9371435,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.7,0.0,8.0
8077335322,-8.0318366,-34.9285003,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,20.5,2.6,10.0
8071787022,-8.0333081,-34.9275352,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.8,0.0,10.0
8071791722,-8.0318366,-34.9285003,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.8,0.0,10.0
8063205522,-8.038660799999999,-34.9329047,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,14.2,1.1,11.0
8053031422,-8.0289014,-34.9315444,AGUA,0 a 20m,0 a 5º,0 a 10%,Baixa,20.2,1.5,8.0
8053019422,-8.0367116,-34.9353394,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,20.2,1.5,9.0
8053762922,-8.0367116,-34.9353394,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,20.2,0.7,9.0
8056677222,-8.0281894,-34.9310852,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,35.6,0.0,12.0
8071781122,-8.0333081,-34.9275352,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.8,0.0,10.0
8071783422,-8.0318366,-34.9285003,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.8,0.0,10.0
8009782822,-8.104726,-34.9178741,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,3.0,0.0,6.0
8056207622,-8.1087779,-34.924817,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,83.0,0.0,7.0
8056301222,-8.1068265,-34.9168069,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,83.0,1.3,7.0
8055885022,-8.1069392,-34.9247218,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,83.0,3.5,5.0
8056340822,-8.1128625,-34.9161874,HP,0 a 20m,0 a 5º,0 a 5%,Baixa,35.6,4.0,8.0
8056554822,-8.1055983,-34.9168672,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,35.6,0.0,6.0
8043261921,-8.1030837,-34.9252468,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,17.8,0.2,6.0
8054684321,-8.1164769,-34.9209922,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,14.3,2.7,10.0
8065217022,-8.1059163,-34.9243886,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,3.0,0.0,4.0
8072208322,-8.1054087,-34.9215651,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,1.5,0.0,7.0
8077851122,-8.1066002,-34.9246694,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,8.0,0.3,5.0
8078484222,-8.1073819,-34.9232073,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,1.7,0.0,5.0
8080263022,-8.1108134,-34.9239103,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,0.5,0.0,11.0
8078834322,-8.1122213,-34.9170435,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,0.6,0.0,7.0
8072900422,-8.1117108,-34.9160633,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,1.6,0.2,7.0
8075611322,-8.111117499999999,-34.9074293,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,23.3,0.8,9.0
8052519322,-8.1078008,-34.9060859,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,29.7,2.9,5.0
8056092422,-8.1026943,-34.9151145,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,83.0,0.6,3.0
8056644921,-8.1047643,-34.908426,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,1.1,0.3,11.0
8062680321,-8.090055399999999,-34.9110644,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,3.3,0.2,7.0
8042646421,-8.1113159,-34.9077277,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,17.8,1.1,9.0
8018744021,-8.070690599999999,-34.8968019,URBANO,0 a 40m,0 a 5º,0 a 15%,Baixa,3.7,0.1,3.0
8077413422,-8.0980082,-34.917975,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,20.5,0.4,8.0
8080563322,-8.0960619,-34.9194908,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,8.0,0.2,1.0
8080549022,-8.0965743,-34.9196325,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,8.0,0.3,1.0
8073061622,-8.0890073,-34.9050045,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,1.6,0.0,7.0
8069019922,-8.0996017,-34.9126483,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,8.1,0.0,7.0
8073074022,-8.0891509,-34.9050999,HP,0 a 40m,0 a 5º,0 a 15%,Baixa,1.6,0.0,7.0
8056943422,-8.0653246,-34.90798880000001,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,12.7,0.3,7.0
8076712822,-8.0659692,-34.9059693,URBANO,0 a 40m,0 a 5º,0 a 15%,Baixa,3.7,0.0,7.0
8062100522,-8.070690599999999,-34.8968019,URBANO,0 a 40m,0 a 5º,0 a 15%,Baixa,2.5,0.2,3.0
8025109421,-8.1101747,-34.9405951,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,3.0,0.0,18.0
8076815122,-8.1122967,-34.9379263,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,3.7,0.1,18.0
8079918622,-8.1094859,-34.9392257,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,1.4,0.0,11.0
8055780422,-8.129321,-34.9330022,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,83.0,7.5,16.0
8110220321,-8.1094859,-34.9392257,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,2.4,0.1,11.0
8015206721,-8.1132262,-34.9491356,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.3,0.0,81.0
8008198221,-8.1290195,-34.9513578,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,1.7,0.5,38.0
8004163021,-8.1246912,-34.9518791,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,4.2,0.1,32.0
8003815321,-8.1255025,-34.9425505,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,4.5,0.1,54.0
8007660421,-8.087023,-34.971542,PV1,0 a 40m,0 a 5º,0 a 15%,Baixa,4.0,0.2,22.0
8044987321,-8.0426019,-34.9336902,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,0.9,0.0,12.0
8044174221,-8.1289205,-34.9458192,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,19.0,0.8,35.0
8034615621,-8.119110599999999,-34.9498691,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.3,74.0
8032968921,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,9.6,0.4,7.0
8030758721,-8.1214326,-34.9447489,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.4,62.0
8032910021,-8.120777499999999,-34.9571545,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.5,81.0
8034079721,-8.1139818,-34.9488643,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.1,81.0
8035617221,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,2.1,0.2,7.0
8035214521,-8.120294,-34.9401213,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,1.6,0.1,47.0
8032693021,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,9.6,0.1,76.0
8034755221,-8.1155531,-34.9575242,PV1,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.0,47.0
8024066021,-8.1209793,-34.9511921,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.0,0.0,33.0
8023265921,-8.1278731,-34.951007,LVd2,0 a 40m,0 a 5º,0 a 15%,Media,1.3,0.1,38.0
8014476021,-8.103359,-34.9323842,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,0.0,0.0,10.0
8105748321,-8.1248001,-34.9521868,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.4,0.0,66.0
8102049721,-8.1155578,-34.9575165,PV1,20 a 100m,10 a 30º,0 a 60%,Media,3.7,0.3,47.0
8103710921,-8.115931699999999,-34.9563298,PV1,20 a 100m,10 a 30º,0 a 60%,Media,0.4,0.1,47.0
8097212621,-8.109358,-34.9501146,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,1.4,0.0,50.0
8088810121,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,2.7,0.3,76.0
8093999121,-8.1098295,-34.939001,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,2.0,0.1,11.0
8084865621,-8.1258532,-34.9591159,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.7,0.1,33.0
8067350121,-8.1250343,-34.9543729,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,5.2,0.1,32.0
8062206021,-8.115133199999999,-34.9564019,PV1,20 a 100m,10 a 30º,0 a 60%,Media,5.4,0.1,47.0
8057351521,-8.113864,-34.9575222,PV1,20 a 100m,10 a 30º,0 a 60%,Media,10.7,0.4,74.0
8049749321,-8.127523499999999,-34.9505188,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.7,0.0,38.0
8057347821,-8.087358000000002,-34.9715086,PV1,0 a 40m,0 a 5º,0 a 15%,Baixa,10.7,0.4,22.0
8048368621,-8.1232825,-34.9591462,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,7.1,0.5,22.0
8043121022,-8.115133199999999,-34.9564019,PV1,20 a 100m,10 a 30º,0 a 60%,Media,7.0,0.2,47.0
8037996922,-8.1143191,-34.9553237,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,1.4,0.0,86.0
8033375022,-8.1149907,-34.9564438,PV1,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.2,47.0
8042664022,-8.1291356,-34.9328211,LVd2,0 a 20m,0 a 5º,0 a 10%,Baixa,5.4,0.8,9.0
8015891022,-8.116582,-34.95304300000001,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.5,0.6,69.0
8005077822,-8.1219301,-34.9487028,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,4.2,0.0,42.0
8113328021,-8.1177307,-34.9534313,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.2,0.3,69.0
8112238721,-8.1182318,-34.9537038,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.0,0.0,69.0
8105655521,-8.125945,-34.9510851,LVd2,0 a 40m,0 a 5º,0 a 15%,Media,3.4,0.0,28.0
8059428322,-8.0253517,-34.9114997,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,2.9,0.0,12.0
8069190022,-8.1361364,-34.9478846,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,8.1,0.0,50.0
