solicitacao_bairro,processo_ocorrencia,confirmado,latitude,longitude,rain_hour,rain_day,altitude,ground_type,danger_level,flooding_risk,ground_amplitude,filtered_ocorrencia
81,9,0,-8.0892332,-34.9619079,0.0,2.0,16.0,7,1,0,1,0
64,6,1,-8.0045467,-34.9326584,3.4,66.0,50.0,5,2,3,3,1
45,9,0,-8.1243984,-34.9393398,0.2,32.0,68.0,4,1,3,3,0
8,12,0,-8.0962665,-34.9381401,0.0,3.0,18.0,2,1,1,0,0
45,6,1,-8.1287594,-34.9507382,19.8,153.0,38.0,4,2,3,1,1
45,6,1,-8.1192829,-34.9522759,0.5,4.1,71.0,4,2,3,3,1
10,9,0,-8.0905173,-34.9420954,0.0,12.0,17.0,7,1,3,2,0
67,6,1,-7.9872387,-34.9183743,0.0,146.0,30.0,5,1,0,1,1
64,6,1,-7.9988464,-34.9273669,12.6,31.0,32.0,5,0,3,3,1
35,9,0,-8.0095295,-34.9529667,0.0,0.0,28.0,0,2,3,3,1
57,9,0,-8.0081946,-34.9345902,1.6,13.0,42.0,0,2,3,3,0
55,6,1,-8.1338411,-34.9464183,0.0,0.0,43.0,4,2,3,3,1
55,9,0,-8.1356067,-34.9451962,0.8,23.0,71.0,4,1,3,3,1
43,6,1,-7.9967245,-34.9374488,0.0,59.0,59.0,5,2,3,3,1
45,9,0,-8.1159217,-34.931689,0.0,20.0,8.0,4,1,2,0,0
76,12,0,-8.0393783,-34.8752242,0.0,0.0,6.0,7,1,0,1,0
35,12,0,-8.0124225,-34.953703,0.0,2.0,21.0,0,1,3,3,0
31,9,0,-8.085689,-34.9720567,0.0,12.0,22.0,6,2,3,3,1
8,0,0,-8.0941474,-34.9284115,2.2,15.7,13.0,2,1,2,0,0
62,0,0,-8.0179125,-34.9146956,0.0,25.0,39.0,7,2,3,3,0
57,12,0,-8.0167725,-34.92925013244986,0.0,3.0,12.0,0,1,0,1,0
67,6,1,-7.988553550000001,-34.92232574738948,0.0,146.0,30.0,5,1,3,3,1
45,1,0,-8.1290232,-34.9513643,5.0,66.0,38.0,4,2,3,3,0
64,1,0,-7.9972381,-34.9303751,0.0,3.0,41.0,5,2,3,3,0
35,9,0,-8.0139209,-34.9560949,0.0,2.0,13.0,0,1,3,3,1
55,9,0,-8.1312646,-34.9374056,0.0,2.0,34.0,4,2,3,3,0
36,11,0,-7.99967695,-34.91380530905113,0.0,0.0,69.0,5,2,3,3,0
56,6,1,-8.0077209,-34.9086548,4.0,84.0,14.0,7,2,3,1,1
16,9,0,-8.0831848,-34.8805692,0.3,3.6,6.0,1,1,0,0,0
64,11,0,-7.9999177,-34.9269306,0.0,23.0,66.0,5,2,3,3,0
56,6,1,-8.0119524,-34.9050812,0.1,14.3,65.0,0,2,3,3,1
