processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,cluster,PROBABILITY
8060090222,-8.0032745,-34.9321485,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,52.0,27,1.0
8058342822,-8.136422500000002,-34.9336018,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,19.8,6.1,51.0,-1,0.0
8062253622,-8.003093,-34.9293564,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,7.4,0.2,63.0,27,1.0
8071045322,-7.999621599999999,-34.9281835,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,49.1,5.0,32.0,-1,0.0
8029062022,-8.007387399999999,-34.9313831,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,6.8,0.3,31.0,27,1.0
8026451622,-8.003296599999999,-34.9347612,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,5.1,0.1,72.0,27,1.0
8053025422,-8.008191199999999,-34.9089757,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,20.2,1.5,14.0,26,0.450209621208648
8021713222,-8.0099594,-34.9298795,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.4,43.0,32,0.8017839041071909
8065766422,-7.998846899999999,-34.9352437,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.7,0.0,53.0,27,1.0
8066634422,-8.0056759,-34.92294,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.2,32.0,27,1.0
8065671322,-7.9971886,-34.9303789,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.7,0.1,41.0,27,1.0
8033610922,-8.0108929,-34.909932,A2,20 a 100m,10 a 30º,0 a 60%,Alta,3.8,0.0,51.0,5,1.0
8072222622,-8.0014666,-34.9331202,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.5,0.0,50.0,27,1.0
8111679021,-8.0073765,-34.9295947,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.7,0.3,49.0,27,1.0
8068989422,-8.0014666,-34.9331202,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,8.0,0.0,50.0,27,1.0
8068866022,-7.9882285,-34.9277833,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,8.0,0.1,46.0,27,1.0
8059214322,-8.1366327,-34.9384812,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,19.8,0.1,28.0,24,0.8078613993311943
8056080622,-8.1239034,-34.9389107,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,0.6,68.0,17,1.0
8011020422,-8.0108929,-34.909932,A2,20 a 100m,10 a 30º,0 a 60%,Alta,1.1,0.0,51.0,5,1.0
8061883821,-8.009622499999999,-34.9347864,A2,20 a 100m,10 a 30º,0 a 60%,Media,5.6,0.5,37.0,31,1.0
8010935922,-8.0106494,-34.906195,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,1.1,0.0,65.0,26,1.0
8057476022,-7.9998185,-34.9263729,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.5,66.0,27,1.0
8010756722,-8.0108412,-34.9098769,A2,20 a 100m,10 a 30º,0 a 60%,Alta,1.1,0.1,51.0,5,1.0
8057382622,-8.012266499999999,-34.9246734,A2,20 a 100m,10 a 30º,0 a 60%,Alta,12.7,0.9,57.0,5,0.41703460224008854
8043236421,-8.0075682,-34.9329826,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,17.8,0.2,31.0,27,1.0
8008583122,-8.0087437,-34.8992619,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,4.8,0.0,68.0,26,0.8952404329270386
8007696722,-8.0090956,-34.9063886,URBANO,20 a 100m,10 a 30º,0 a 60%,Alta,1.2,0.0,28.0,6,1.0
8042693221,-8.005917799999999,-34.9280461,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,17.8,0.9,63.0,27,1.0
8056281122,-7.9917053,-34.9265146,LVd4,0 a 40m,0 a 5º,0 a 15%,Media,83.0,0.1,25.0,-1,0.0
8053429822,-8.137449499999999,-34.9319804,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,20.2,0.0,69.0,-1,0.0
8056745822,-7.999621599999999,-34.9281835,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.3,32.0,27,0.7820084653079742
